Período,Região ID,Valor
2015-01-15T00:00:00.000Z,53,26.51
2019-01-15T00:00:00.000Z,23,26.55
2012-01-15T00:00:00.000Z,17,26.58
2011-01-15T00:00:00.000Z,50,26.59
2023-01-15T00:00:00.000Z,24,26.6
2007-01-15T00:00:00.000Z,16,26.61
2020-01-15T00:00:00.000Z,51,26.66
2007-01-15T00:00:00.000Z,14,26.68
2013-01-15T00:00:00.000Z,41,26.68
2014-01-15T00:00:00.000Z,50,26.69
2012-01-15T00:00:00.000Z,50,26.72
2016-01-15T00:00:00.000Z,41,26.72
2005-01-15T00:00:00.000Z,53,26.75
2016-01-15T00:00:00.000Z,53,26.85
2014-01-15T00:00:00.000Z,41,26.87
2022-01-15T00:00:00.000Z,25,26.91
2005-01-15T00:00:00.000Z,50,27
2005-01-15T00:00:00.000Z,15,27.05
2024-01-15T00:00:00.000Z,51,27.06
2008-01-15T00:00:00.000Z,28,27.2
2022-01-15T00:00:00.000Z,12,27.28
2004-01-15T00:00:00.000Z,52,27.31
2008-01-15T00:00:00.000Z,25,27.33
2011-01-15T00:00:00.000Z,33,27.41
2012-01-15T00:00:00.000Z,33,27.43
2003-01-15T00:00:00.000Z,14,27.69
2022-01-15T00:00:00.000Z,21,27.69
2004-01-15T00:00:00.000Z,41,27.71
2002-01-15T00:00:00.000Z,53,27.82
2018-01-15T00:00:00.000Z,51,27.82
2001-01-15T00:00:00.000Z,28,27.88
2021-01-15T00:00:00.000Z,17,27.9
2018-01-15T00:00:00.000Z,11,27.91
2011-01-15T00:00:00.000Z,11,27.94
2007-01-15T00:00:00.000Z,53,27.95
2021-01-15T00:00:00.000Z,25,27.99
2004-01-15T00:00:00.000Z,35,28.07
2020-01-15T00:00:00.000Z,25,28.07
2022-01-15T00:00:00.000Z,51,28.14
2015-01-15T00:00:00.000Z,33,28.2
2022-01-15T00:00:00.000Z,32,28.22
2009-01-15T00:00:00.000Z,16,28.26
2001-01-15T00:00:00.000Z,50,28.29
2007-01-15T00:00:00.000Z,11,28.3
2023-01-15T00:00:00.000Z,32,28.31
2023-01-15T00:00:00.000Z,51,28.42
2004-01-15T00:00:00.000Z,50,28.43
2001-01-15T00:00:00.000Z,27,28.44
2014-01-15T00:00:00.000Z,12,28.45
2020-01-15T00:00:00.000Z,52,28.51
2021-01-15T00:00:00.000Z,21,28.59
2006-01-15T00:00:00.000Z,15,28.6
2018-01-15T00:00:00.000Z,21,28.63
2023-01-15T00:00:00.000Z,21,28.63
2008-01-15T00:00:00.000Z,50,28.66
2006-01-15T00:00:00.000Z,50,28.69
2016-01-15T00:00:00.000Z,43,28.7
2022-01-15T00:00:00.000Z,17,28.89
2004-01-15T00:00:00.000Z,53,28.9
2012-01-15T00:00:00.000Z,14,28.95
2023-01-15T00:00:00.000Z,15,29
2005-01-15T00:00:00.000Z,41,29.01
2013-01-15T00:00:00.000Z,33,29.08
2013-01-15T00:00:00.000Z,12,29.11
2007-01-15T00:00:00.000Z,50,29.26
2019-01-15T00:00:00.000Z,17,29.31
2006-01-15T00:00:00.000Z,28,29.37
2009-01-15T00:00:00.000Z,50,29.4
2013-01-15T00:00:00.000Z,11,29.4
2017-01-15T00:00:00.000Z,43,29.44
2004-01-15T00:00:00.000Z,16,29.45
2002-01-15T00:00:00.000Z,28,29.49
2018-01-15T00:00:00.000Z,32,29.54
2010-01-15T00:00:00.000Z,53,29.73
2007-01-15T00:00:00.000Z,41,29.76
2007-01-15T00:00:00.000Z,15,29.77
2024-01-15T00:00:00.000Z,11,29.78
2008-01-15T00:00:00.000Z,52,29.87
2011-01-15T00:00:00.000Z,16,29.87
2007-01-15T00:00:00.000Z,51,29.92
2023-01-15T00:00:00.000Z,14,29.92
2006-01-15T00:00:00.000Z,41,29.97
2000-01-15T00:00:00.000Z,50,30.06
2020-01-15T00:00:00.000Z,21,30.12
2004-01-15T00:00:00.000Z,51,30.14
2019-01-15T00:00:00.000Z,52,30.21
2023-01-15T00:00:00.000Z,28,30.32
